Access        Accès
Hidden        Caché
Debt        dette
Pedagogy    pédagogie
Issue        problème
Spatial                espace
Archive    archive
Library        bibliothèque
Technology    technologie
Conference    conference
Novel        roman
Digital        numérique
Network    réseaux
Vibe        vibe
Poutine    poutine
Data        les données
Tim Horton’s    Tim Horton
Gender    genre
Bagel        bagel
Smoked meat    viande fumé
GitHub        GitHub
Ethics        éthique
Might        peut-être
Accessibility    accessibilité
Pedagogy    pédagogie
Privacy    confidentiel
Encouraging    Encourageant
Hacking    piratage
Support    Soutenir
Mapping    tracer
Analysis    Analiser
Funding    Financement
Structural    Structure
Copyright    droit d'auteur
Scale        échelle
Community    communauté
Sustainability    Durabilité
Affordance    capabilité
Open access    accès libre
Virtual        virtuelle
Biosphere    Biosphère
Scholarly    académique
Visualization    Visualisation
Millennials     enfants du millénaire
Methodology    Methodology
Studies    études
Virtual Reality    Réalité virtuelle
Video games    Jeux vidéo
Humanities    Humanités
Affordances    capabilités
Empathy    Empathie
Digital projects    Projets numériques
Dig projects    Projects numériques
WordPress    WordPress
Curate        organiser le contenu
Translate    Traduire
Sustainable    Durable
TEI        TEI
XML        XML
Discipline    Discipline
Playing    Jouer
Literature    Littérature
Students    étudiant
Computer    Ordinateur
Ebook              Ebook
BIXI                  BIXI
crowdsourcing
